iter	Passed	Remaining
0	221	21904
1	287	14092
2	342	11087
3	398	9572
4	464	8819
5	521	8165
6	583	7757
7	636	7316
8	691	6993
9	747	6725
10	800	6475
11	859	6305
12	904	6051
13	951	5846
14	1004	5689
15	1058	5555
16	1109	5417
17	1157	5272
18	1217	5190
19	1272	5090
20	1325	4988
21	1380	4896
22	1428	4782
23	1475	4672
24	1523	4570
25	1572	4476
26	1625	4393
27	1676	4312
28	1725	4224
29	1776	4144
30	1824	4061
31	1867	3968
32	1913	3884
33	1958	3802
34	2002	3718
35	2054	3652
36	2098	3573
37	2142	3495
38	2192	3429
39	2241	3362
40	2287	3292
41	2331	3219
42	2377	3151
43	2423	3084
44	2485	3037
45	2541	2983
46	2591	2922
47	2643	2863
48	2692	2802
49	2737	2737
50	2781	2672
51	2827	2610
52	2878	2553
53	2924	2491
54	2972	2431
55	3020	2372
56	3061	2309
57	3109	2251
58	3160	2196
59	3218	2145
60	3268	2089
61	3319	2034
62	3371	1980
63	3422	1925
64	3468	1867
65	3516	1811
66	3559	1753
67	3606	1697
68	3652	1640
69	3703	1587
70	3749	1531
71	3789	1473
72	3835	1418
73	3880	1363
74	3922	1307
75	3968	1253
76	4013	1198
77	4057	1144
78	4104	1090
79	4157	1039
80	4213	988
81	4255	934
82	4304	881
83	4350	828
84	4393	775
85	4435	722
86	4480	669
87	4523	616
88	4574	565
89	4620	513
90	4662	461
91	4712	409
92	4753	357
93	4797	306
94	4839	254
95	4884	203
96	4927	152
97	4975	101
98	5020	50
99	5069	0
